"anchor_id","public_value","implementation","formula_registry_id","role","current_status","not_a_claim_of","upgrade_path"
"gut_scale","M_GUT = 2.1e16 GeV","core.formulas.gut_prediction_values; core.field.UnifiedField._compute_theoretical_predictions","gut_predictions","internal reference scale for the GUT proxy","tracked reference anchor, not derived from the five-equation core","completed empirical discovery or independently derived prediction","derive the scale from recursive coupling flow and compare against accepted high-energy constraints"
"gut_coupling","alpha_GUT = 0.0376","core.formulas.gut_prediction_values; core.field.UnifiedField._compute_theoretical_predictions","gut_predictions","internal reference value for coupling-convergence bookkeeping","tracked reference anchor, not derived from the five-equation core","completed empirical discovery or independently derived prediction","derive the value from a complete RG calculation rather than table agreement"
"proton_lifetime_scale","tau_p = 1.0e34 yr","core.formulas.gut_prediction_values; core.field.UnifiedField._compute_theoretical_predictions","gut_predictions","internal lifetime-scale proxy separated from channel-level proton decay bounds","internal proxy anchor, not an observed partial lifetime","derived proton-decay lifetime or external empirical validation","derive a channel-specific decay mapping that survives Super-Kamiokande-style constraints"
"proton_decay_rate","Gamma_p->e+pi0 = 1.6e-36 yr^-1","core.formulas.gut_prediction_values; core.field.UnifiedField.compute_proton_decay_rate","gut_predictions","channel-level rate proxy used for falsification pressure","tracked proxy anchor, not an observed event rate","derived decay rate or empirical confirmation","replace the proxy with a full decay-amplitude derivation and compare to updated lifetime limits"
"fermion_mass_ordering","top > charm > up; tau > muon > electron","core.field.UnifiedField.compute_fermion_masses","fermion_ordering","known fermion ordering used as a hierarchy benchmark","reference ordering anchor, not a mass-spectrum derivation","derived mass spectrum or new empirical particle-mass discovery","derive mass ratios from recursive hierarchy terms instead of table values"
"higgs_vev","v = 246.0 GeV","core.field.UnifiedField.compute_higgs_vev","higgs_neutrino_values","Standard Model reference anchor for Higgs-sector traceability","calibrated reference anchor, not derived from the five-equation core","derived Higgs-sector measurement or proof","derive the electroweak scale from the recursive architecture"
"higgs_mass","m_H = 125.1 GeV","core.field.UnifiedField.compute_higgs_mass","higgs_neutrino_values","Standard Model reference anchor for Higgs-sector traceability","calibrated reference anchor, not derived from the five-equation core","derived Higgs-mass prediction","derive the Higgs mass from recursive mass/coupling constraints"
"neutrino_oscillation_probability","P(mu->e) ~= 0.0597","core.field.UnifiedField.compute_oscillation_probability","higgs_neutrino_values","oscillation benchmark used in the current bounded proxy","reference probability anchor, not a full baseline/energy-dependent oscillation derivation","derived or empirical complete neutrino-oscillation model","replace constant benchmark with baseline and energy dependent oscillation calculation"
"jarlskog_invariant","J ~= 3.2e-5","core.formulas.jarlskog_baryon_values; core.field.UnifiedField.compute_jarlskog","jarlskog_baryon","CKM-sector reference anchor for CP-violation bookkeeping","reference proxy anchor, not a derived CKM prediction","new CP-violation derivation","derive J from recursive phase structure and compare against CKM fits"
"baryon_asymmetry","eta_B ~= 6.1e-10","core.formulas.jarlskog_baryon_values; core.field.UnifiedField.compute_baryon_asymmetry","jarlskog_baryon","cosmological reference anchor for baryon-asymmetry bookkeeping","reference proxy anchor, not a dynamical baryogenesis derivation","derived baryogenesis model or empirical confirmation","derive eta_B from a dynamical out-of-equilibrium model"
"dark_energy_density_scale","rho_Lambda ~= (2.3e-3 eV)^4","core.formulas.dark_energy_density; core.field.UnifiedField.compute_dark_energy_density","dark_energy_density","cosmological density-scale reference anchor","reference density anchor, not a cosmological-parameter fit","derived density scale or new empirical dark-energy discovery","derive the density scale and fit it against independent cosmological datasets"
"low_energy_signatures","Delta r_W, B(B_s->mu+mu-), sin^2 theta_13","core.formulas.low_energy_signature_values; core.field.UnifiedField.compute_low_energy_signatures","low_energy_values","precision-signature benchmark values used for consistency checks","reference anchors, not low-energy predictions derived from the five-equation core","derived precision-phenomenology prediction or empirical discovery","derive each low-energy signature from the framework and compare to updated averages"
